assumption_id,pack,section_code,section_name,short_description,status,applies_to
ACU-GEN-001,ACU,ACU-GEN,General Engagement Scope,Scope limited to SOW; additions are Change Requests,Approved,All Acumatica engagements
ACU-GEN-002,ACU,ACU-GEN,General Engagement Scope,Cloud SaaS only; no on-premises Acumatica,Approved,All Acumatica engagements
ACU-GEN-003,ACU,ACU-GEN,General Engagement Scope,Licence must be active before configuration begins,Approved,All Acumatica engagements
ACU-GEN-004,ACU,ACU-GEN,General Engagement Scope,Client provides committed module business owners,Approved,All Acumatica engagements
ACU-GEN-005,ACU,ACU-GEN,General Engagement Scope,Standard OOTB functionality as starting point; customisation requires justification,Approved,All Acumatica engagements
ACU-GEN-006,ACU,ACU-GEN,General Engagement Scope,Client processes adapt to Acumatica; not a legacy replication project,Approved,All Acumatica engagements
ACU-GEN-007,ACU,ACU-GEN,General Engagement Scope,Structured delivery methodology; client PM participation required,Approved,All Acumatica engagements
ACU-GEN-008,ACU,ACU-GEN,General Engagement Scope,Single Acumatica tenant assumed; multiple tenants separately scoped,Approved,All Acumatica engagements
ACU-GEN-009,ACU,ACU-GEN,General Engagement Scope,APPSolve is an Acumatica Gold Partner — cite 'Acumatica Gold Partner' only; never cite 'Gold Certified',Approved,All Acumatica proposals
ACU-ENV-001,ACU,ACU-ENV,Environments,Two environments standard: Production + one non-Production,Approved,All Acumatica engagements
ACU-ENV-002,ACU,ACU-ENV,Environments,Acumatica provisions its own cloud environments; APPSolve does not control timeline,Approved,All Acumatica engagements
ACU-ENV-003,ACU,ACU-ENV,Environments,Configuration starts only after non-Production environment is available,Approved,All Acumatica engagements
ACU-ENV-004,ACU,ACU-ENV,Environments,All configuration in non-Production first; Production promoted after UAT sign-off,Approved,All Acumatica engagements
ACU-ENV-005,ACU,ACU-ENV,Environments,Access via standard web browser; no custom mobile app configuration,Approved,All Acumatica engagements
ACU-ENV-006,ACU,ACU-ENV,Environments,Performance and load testing not included in standard scope,Approved,All Acumatica engagements
ACU-CFG-001,ACU,ACU-CFG,Configuration and Customisation,Low-Code/No-Code framework only; no direct DB or source code modification,Approved,All Acumatica engagements
ACU-CFG-002,ACU,ACU-CFG,Configuration and Customisation,Custom development (C# etc.) beyond LCNC is separately priced,Approved,All Acumatica engagements
ACU-CFG-003,ACU,ACU-CFG,Configuration and Customisation,Generic Inquiries are the standard tool for custom data views,Approved,All Acumatica engagements
ACU-CFG-004,ACU,ACU-CFG,Configuration and Customisation,Business Events and Push Notifications configured for agreed automations only,Approved,All Acumatica engagements
