assumption_id,pack,section_code,section_name,short_description,status,applies_to
OCI-GEN-001,OCI,OCI-GEN,General Engagement Scope,Scope limited to workloads named in SOW; additional workloads = CR,Approved,All OCI engagements
OCI-GEN-002,OCI,OCI-GEN,General Engagement Scope,APPSolve delivers OCI infra; not ongoing ops team without AMS SOW,Approved,All OCI engagements
OCI-GEN-003,OCI,OCI-GEN,General Engagement Scope,Client holds OCI tenancy agreement directly with Oracle,Approved,All OCI engagements
OCI-GEN-004,OCI,OCI-GEN,General Engagement Scope,Default region: Oracle South Africa (Johannesburg); multi-region requires explicit SOW,Approved,All OCI engagements
OCI-GEN-005,OCI,OCI-GEN,General Engagement Scope,Single OCI tenancy assumed; multiple tenancies separately scoped,Approved,All OCI engagements
OCI-GEN-006,OCI,OCI-GEN,General Engagement Scope,Client must provide named technical contacts with approval authority,Approved,All OCI engagements
OCI-GEN-007,OCI,OCI-GEN,General Engagement Scope,OCI delivery based on Oracle Well-Architected Framework; deviations documented,Approved,All OCI engagements
OCI-GEN-008,OCI,OCI-GEN,General Engagement Scope,Oracle SaaS (Fusion HCM/ERP) is Oracle-operated; OCI work limited to OIC/APEX/hybrid,Approved,All OCI engagements
OCI-LZ-001,OCI,OCI-LZ,Landing Zone,Standard Landing Zone: compartments + IAM + tagging + budget alerts; customisation separately scoped,Approved,All OCI engagements
OCI-LZ-002,OCI,OCI-LZ,Landing Zone,Three standard compartments: Production / Non-Production / Shared Services,Approved,All OCI engagements
OCI-LZ-003,OCI,OCI-LZ,Landing Zone,Greenfield tenancy assumed; existing tenancy requires paid audit first,Approved,All OCI engagements
OCI-LZ-004,OCI,OCI-LZ,Landing Zone,Landing Zone delivered as Terraform/ORM IaC; client receives artefacts at close,Approved,All OCI engagements
OCI-LZ-005,OCI,OCI-LZ,Landing Zone,Standard tagging: environment / cost centre / project / owner; custom tags separately scoped,Approved,All OCI engagements
OCI-LZ-006,OCI,OCI-LZ,Landing Zone,Budget alert thresholds set from client-provided budget data; APPSolve does not define budgets,Approved,All OCI engagements
OCI-LZ-007,OCI,OCI-LZ,Landing Zone,No multi-cloud federation included (Azure Arc / AWS Control Tower),Approved,All OCI engagements
OCI-LZ-008,OCI,OCI-LZ,Landing Zone,No automatic resource lifecycle management; optional add-on if required,Approved,All OCI engagements
OCI-LZ-009,OCI,OCI-LZ,Landing Zone,ORM used for Terraform execution; custom pipeline separately scoped,Approved,All OCI engagements
OCI-LZ-010,OCI,OCI-LZ,Landing Zone,Standard Landing Zone Runbook included; bespoke procedure manuals are out of scope,Approved,All OCI engagements
OCI-IAM-001,OCI,OCI-IAM,Identity and Access Management,Oracle Identity Domains used (not legacy IDCS); IDCS migration separately scoped,Approved,All OCI engagements
OCI-IAM-002,OCI,OCI-IAM,Identity and Access Management,Standard IAM groups: tenancy/compartment/network/security/DBA admins + read-only auditors,Approved,All OCI engagements
OCI-IAM-003,OCI,OCI-IAM,Identity and Access Management,IdP federation (Entra ID / Okta / ADFS) in scope where stated in SOW; requires client identity team,Approved,OCI engagements with federation requirement
OCI-IAM-004,OCI,OCI-IAM,Identity and Access Management,Single Identity Domain assumed; multiple domains separately scoped and may require additional Oracle licensing,Approved,All OCI engagements
OCI-IAM-005,OCI,OCI-IAM,Identity and Access Management,PAM tooling integration (CyberArk / BeyondTrust) not included; specialist security scope,Approved,All OCI engagements
OCI-IAM-006,OCI,OCI-IAM,Identity and Access Management,APPSolve automation service accounts are least-privilege; handed over at project close,Approved,All OCI engagements
OCI-IAM-007,OCI,OCI-IAM,Identity and Access Management,Client must designate at least one internal OCI tenancy administrator,Approved,All OCI engagements
OCI-IAM-008,OCI,OCI-IAM,Identity and Access Management,MFA enforced by default for all OCI Console users; disabling requires written client approval,Approved,All OCI engagements
OCI-IAM-009,OCI,OCI-IAM,Identity and Access Management,Least-privilege IAM policies; no wildcard policies in production,Approved,All OCI engagements
OCI-IAM-010,OCI,OCI-IAM,Identity and Access Management,Break-Glass access procedures documented in Runbook; APPSolve does not hold post-project credentials,Approved,All OCI engagements
OCI-NET-001,OCI,OCI-NET,Networking,One VCN per major environment (Production / Non-Production); additional VCNs separately scoped,Approved,All OCI engagements
OCI-NET-002,OCI,OCI-NET,Networking,VCN CIDR assigned by client network team; CIDR conflicts are client responsibility,Approved,All OCI engagements
OCI-NET-003,OCI,OCI-NET,Networking,IPSec VPN is default on-premise connectivity; FastConnect requires separate commercial decision,Approved,All OCI engagements
OCI-NET-004,OCI,OCI-NET,Networking,Client network team must provide VPN gateway IP / pre-shared keys / routing before configuration,Approved,All OCI engagements
OCI-NET-005,OCI,OCI-NET,Networking,Hub-and-Spoke VCN topology is standard; flat single-VCN available for simple engagements,Approved,All OCI engagements
OCI-NET-006,OCI,OCI-NET,Networking,Service Gateway enabled by default; Internet Gateway only where explicitly required,Approved,All OCI engagements
OCI-NET-007,OCI,OCI-NET,Networking,OCI Private DNS for internal; external DNS managed by client DNS provider,Approved,All OCI engagements
OCI-NET-008,OCI,OCI-NET,Networking,NSGs and Security Lists restrict traffic between tiers; client approves rules before deployment,Approved,All OCI engagements
OCI-NET-009,OCI,OCI-NET,Networking,OCI Network Firewall (DPI / IPS) is additional licensed OCI service; separately scoped,Approved,Engagements requiring advanced firewall
OCI-NET-010,OCI,OCI-NET,Networking,Flexible Load Balancer included where named in SOW; application-specific tuning included,Approved,Engagements with HA/public access
OCI-NET-011,OCI,OCI-NET,Networking,OCI Bastion Service for all admin access; no direct public IP to production compute,Approved,All OCI engagements
OCI-NET-012,OCI,OCI-NET,Networking,Third-party network appliances (Palo Alto / Fortinet) out of scope; OCI-native only,Approved,All OCI engagements
OCI-SEC-001,OCI,OCI-SEC,Security,CIS OCI Foundations Benchmark Level 1 as baseline; higher standards separately scoped,Approved,All OCI engagements
OCI-SEC-002,OCI,OCI-SEC,Security,Cloud Guard enabled and configured; post-handover remediation is client's responsibility,Approved,All OCI engagements
OCI-SEC-003,OCI,OCI-SEC,Security,Security Zones applied to Production compartment; disabling requires CISO written approval,Approved,All OCI engagements
OCI-SEC-004,OCI,OCI-SEC,Security,Oracle-managed encryption keys by default; CMEK via OCI Vault requires explicit SOW inclusion,Approved,All OCI engagements
OCI-SEC-005,OCI,OCI-SEC,Security,TLS enforced for all data in transit; plaintext channels not configured in production,Approved,All OCI engagements
OCI-SEC-006,OCI,OCI-SEC,Security,Audit logs retained 90 days by default; extended retention requires Object Storage export,Approved,All OCI engagements
OCI-SEC-007,OCI,OCI-SEC,Security,Penetration testing out of APPSolve scope; procured from specialist vendor,Approved,All OCI engagements
OCI-SEC-008,OCI,OCI-SEC,Security,Vulnerability scanning is client operational responsibility post-handover,Approved,All OCI engagements
OCI-SEC-009,OCI,OCI-SEC,Security,Data residency maintained within contracted OCI region; cross-border requires explicit client approval,Approved,All OCI engagements
OCI-SEC-010,OCI,OCI-SEC,Security,Security Advisor run during engagement; report provided at handover; accepted findings documented,Approved,All OCI engagements
OCI-CMP-001,OCI,OCI-CMP,Compute,Instance sizing from client-provided or Oracle-documented specifications; APPSolve does not independently validate,Approved,All OCI engagements
OCI-CMP-002,OCI,OCI-CMP,Compute,Standard shape: VM.Standard.E4.Flex or VM.Standard3.Flex unless application requires otherwise,Approved,All OCI engagements
OCI-CMP-003,OCI,OCI-CMP,Compute,Oracle Linux as default OS; non-Oracle OS licensing is client responsibility,Approved,All OCI engagements
OCI-CMP-004,OCI,OCI-CMP,Compute,Oracle baseline OS hardening; CIS/STIG/NIST hardening separately scoped,Approved,All OCI engagements
OCI-CMP-005,OCI,OCI-CMP,Compute,All compute provisioned via Terraform/ORM; no manual console provisioning for production,Approved,All OCI engagements
OCI-CMP-006,OCI,OCI-CMP,Compute,Auto-scaling configured where explicitly required; not assumed by default,Approved,All OCI engagements
OCI-CMP-007,OCI,OCI-CMP,Compute,HA using Availability Domain / Fault Domain placement per application requirements,Approved,All OCI engagements
OCI-CMP-008,OCI,OCI-CMP,Compute,Production boot volume backups included; non-production backups optional,Approved,All OCI engagements
OCI-STO-001,OCI,OCI-STO,Storage,Object Storage for DB backups / exports / audit log archiving / static content,Approved,All OCI engagements
