Assumption_ID,Section,Area,Category,Statement_Summary,Risk_If_Invalid,Default_Included,Customer_Action_Required,Version,Status
ERP-GEN-001,66,General Scope,Assumption,APPSolve scope covers configuration design / system config / data migration / testing / training / cutover / hypercare,Scope creep into operations and business process management,Yes,None,1.0,Active
ERP-GEN-002,66,General Scope,Assumption,OUM delivery methodology: Mobilize > Scope and Design > Prototype > Validate > Deploy > Evolve,Delivery approach misalignment; milestone dispute,Yes,None,1.0,Active
ERP-GEN-003,66,General Scope,Assumption,Modules in scope confirmed by signed Oracle BOM; additions are CRs,Scope creep from post-SOW module additions,Yes,Confirm BOM before SOW execution,1.0,Active
ERP-GEN-004,66,General Scope,Assumption,Oracle ERP delivered as SaaS; APPSolve configures; Oracle operates; 1 Production + 1 non-production,Client disputes infrastructure responsibility,Yes,None,1.0,Active
ERP-GEN-005,66,General Scope,Assumption,ERP is configuration-based; custom code (APEX/PaaS/Groovy beyond standard config) is separately scoped,Client expects custom development in base scope,Yes,None,1.0,Active
ERP-GEN-006,66,General Scope,Customer Responsibility,Oracle quarterly SaaS updates managed by Oracle; APPSolve provides implementation services only; update management post-go-live is client responsibility unless AMS,Client expects APPSolve to manage quarterly updates post-go-live without AMS,Yes,Acknowledge SaaS update management responsibility,1.0,Active
ERP-GEN-007,66,General Scope,Constraint,COA design must be signed off by client before ledger configuration commences; delays cascade to all dependent config,All downstream config stalls if COA is delayed,Yes,Approve COA design before ledger config starts,1.0,Active
ERP-GEN-008,66,General Scope,Constraint,Legal entity structure confirmed and stable before LE configuration commences; changes after config constitutes rework,Legal entity restructure mid-project causes significant rework cost,Yes,Confirm legal entity structure before LE config,1.0,Active
ERP-GL-001,67,General Ledger,Assumption (Pending BU-ERP-001),One primary ledger per legal entity; secondary ledgers assessed as scope addition,Client expects multiple secondary ledgers (IFRS/local GAAP) in base scope,Yes,Confirm secondary ledger requirement before design,1.0,Active
ERP-GL-002,67,General Ledger,Customer Responsibility,Client defines COA structure: segment names / lengths / value set definitions / code combination values; APPSolve configures from approved design,APPSolve designs COA from scratch causing ownership and accuracy dispute,Yes,Provide complete approved COA design,1.0,Active
ERP-GL-003,67,General Ledger,Assumption,Default COA includes up to 6 segments; additional segments assessed per complexity,COA complexity underestimated; SV rules and reporting more complex than estimated,Yes,Confirm COA segment count before configuration,1.0,Active
ERP-GL-004,67,General Ledger,Customer Responsibility,Client provides financial calendar (year-end month / period type / year start) before ledger config commences,Calendar config blocked without client input,Yes,Provide confirmed accounting calendar,1.0,Active
ERP-GL-005,67,General Ledger,Customer Responsibility,Functional currency confirmed per LE before ledger config; SA operations default ZAR,Multi-currency setup delayed or wrong currency configured,Yes,Confirm functional currency per legal entity,1.0,Active
ERP-GL-006,67,General Ledger,Assumption (Pending BU-ERP-002),Standard intercompany accounting included in GL base scope where client has multiple LEs; complex netting / multilateral / consolidation assessed separately,Complex intercompany scope absorbed into base pricing,Yes,Confirm intercompany complexity in Scope and Design,1.0,Active
ERP-GL-007,67,General Ledger,Assumption,One standard journal approval workflow per Oracle ERP instance; additional workflows per BU/category/ledger are CRs,Client expects separate approval workflow per business unit or journal type,Yes,None,1.0,Active
ERP-GL-008,67,General Ledger,Assumption,FRS reports for standard financial statement pack (IS/BS/TB/CF) at agreed count; additional reports are CRs,Report count underestimated; ad hoc report requests treated as in-scope,Yes,Confirm FRS report list in Scope and Design,1.0,Active
ERP-AP-001,68,Accounts Payable,Customer Responsibility,Client provides supplier master in FBDI template: legal name / reg no / tax reg / bank details / payment terms / address,Supplier load delayed or data quality failures,Yes,Provide supplier data in FBDI template by data migration milestone,1.0,Active
ERP-AP-002,68,Accounts Payable,Exclusion,Automated invoice capture (OCR / IDP / e-invoicing / Ariba / Tungsten) is excluded from base AP scope,Client expects OCR invoice capture as standard,Yes,Acknowledge manual invoice entry as default; raise separately if OCR required,1.0,Active
ERP-AP-003,68,Accounts Payable,Assumption (Pending BU-ERP-003),Three-way match (PO/GRN/Invoice) is default for PO-based invoices; two-way match where Oracle Receiving not in scope; confirmed in Scope and Design,Incorrect matching approach configured; AP validation failures at go-live,Yes,Confirm matching approach in Scope and Design,1.0,Active
