"extraction_id","source_document","source_path","business_unit","content_type","extraction_date","extracted_by","readiness","review_status","reviewer","final_disposition","destination_path","notes"
"W1S1-001","Oracle Fusion Template.docx","Parties/Customers/0. Proposal Templates/Oracle Fusion/Oracle Fusion Template.docx","Cross_BU","Corporate Profile","2026-06-08","Claude (AI extraction)","MODERNISE","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/Cross_BU/W1S1-001-CORP-CompanyOverview.md","Fact updates applied 2026-06-09: years 23+, headcount 50+, geography revised (removed NGA/UGA/BGD/QAT/GHA). Approved by Hein Blignaut 2026-06-09. Candidate DRAFT archived to Candidate_Content/_Archived_Superseded/ 2026-06-09."
"W1S1-002","Oracle Fusion Template.docx","Parties/Customers/0. Proposal Templates/Oracle Fusion/Oracle Fusion Template.docx","Cross_BU","Corporate Profile","2026-06-08","Claude (AI extraction)","MODERNISE","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/Cross_BU/W1S1-002-CORP-CompanyHistory.md","Fact updates applied 2026-06-09: years, headcount, geography, Oracle Level 1, 2024 awards. Edit D4: 'a significant force in the South African Oracle industry' removed. Approved by Hein Blignaut 2026-06-09."
"W1S1-003","Oracle Fusion Template.docx","Parties/Customers/0. Proposal Templates/Oracle Fusion/Oracle Fusion Template.docx","Oracle","Partnership Statement","2026-06-08","Claude (AI extraction)","MODERNISE","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/Cross_BU/W1S1-003-ORA-OraclePartnership.md","Fact updates applied 2026-06-09: Gold Level replaced with Oracle Level 1 Partner and 5 expertise areas, 2024 awards added. Annual review note: revalidate Cloud Excellence Implementer and Linux Specialist against OPN. Approved by Hein Blignaut 2026-06-09."
"W1S1-004","APPSolve Acumatica - CUSTOMER - Proposal Template Sept2025 BH.docx","Parties/Customers/0. Proposal Templates/Acumatica/APPSolve Acumatica - CUSTOMER - Proposal Template Sept2025 BH.docx","Acumatica","Partnership Statement","2026-06-08","Claude (AI extraction)","MODERNISE","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/Cross_BU/W1S1-004-ACU-AcumaticaPartnership.md","Fact updates applied 2026-06-09: tier to Gold Partner (F5), Healthcare removed, FMCG added (F16). Approved by Hein Blignaut 2026-06-09. Candidate DRAFT archived to Candidate_Content/_Archived_Superseded/ 2026-06-09."
"W1S1-005","APPSolve_HyDac_Proposal_20241211_V5.1 Template BeBanking.docx","Parties/Customers/HyDac/RFP/Acumatica Implementation/1. Working/APPSolve_HyDac_Proposal_20241211_V5.1 Template BeBanking.docx","BeBanking","Product Overview","2026-06-08","Claude (AI extraction)","DIRECT","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/Cross_BU/W1S1-005-BB-BeBankingOverview.md","Fact updates applied 2026-06-09: SAP line removed (F10), banks updated to all major SA banks (F11). D1 applied 2026-06-09: ERP Compatibility section generalised to Oracle EBS, Oracle Fusion Applications and Acumatica; bracket flag removed; Acumatica integration confirmed by Hein Blignaut. Approved by Hein Blignaut 2026-06-09. Candidate DRAFT archived to Candidate_Content/_Archived_Superseded/ 2026-06-09."
"W1S1-006","Oracle Fusion Template.docx","Parties/Customers/0. Proposal Templates/Oracle Fusion/Oracle Fusion Template.docx","Cross_BU","Awards and Recognition","2026-06-08","Claude (AI extraction)","MODERNISE","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/Cross_BU/W1S1-006-CORP-AwardsRecognition.md","Fact updates applied 2026-06-09: 2024 EMEA and ECEMEA Business Impact Awards added. Awards section approved unrestricted. Success stories restructured: Tiger Brands/USAID/UT Grain marked Pending URL Verification (not blocking). Approved by Hein Blignaut 2026-06-09."
"W1S1-007","Oracle Fusion Template.docx","Parties/Customers/0. Proposal Templates/Oracle Fusion/Oracle Fusion Template.docx","Cross_BU","Delivery Model","2026-06-08","Claude (AI extraction)","MODERNISE","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/Cross_BU/W1S1-007-CORP-DeliveryModel.md","Fact updates applied 2026-06-09: Oracle Level 1 (F3/F4), years 23+, DBA claim softened (F15). Approved by Hein Blignaut 2026-06-09. Candidate DRAFT archived to Candidate_Content/_Archived_Superseded/ 2026-06-09."
"W1S1-008","Oracle Fusion Template.docx","Parties/Customers/0. Proposal Templates/Oracle Fusion/Oracle Fusion Template.docx","Cross_BU","Geographic Presence","2026-06-08","Claude (AI extraction)","MODERNISE","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/Cross_BU/W1S1-008-CORP-GeographicPresence.md","Fact updates applied 2026-06-09: removed NGA/UGA/BGD/QAT/GHA, language distinguishes active engagements vs project delivery (F9). D2 applied 2026-06-09: MTN replaced with Tier 1 telecommunications operators in industries table. Approved by Hein Blignaut 2026-06-09. Candidate DRAFT archived to Candidate_Content/_Archived_Superseded/ 2026-06-09."
"W1S1-009","Oracle Fusion Template.docx","Parties/Customers/0. Proposal Templates/Oracle Fusion/Oracle Fusion Template.docx","Cross_BU","Key Differentiators","2026-06-08","Claude (AI extraction)","MODERNISE","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/Cross_BU/W1S1-009-CORP-KeyDifferentiators.md","Fact update applied 2026-06-09: resource pool corrected from 100+ to confirmed 50+ (F2). D3 applied 2026-06-09: unique→distinctive in Hybrid Support Model; 24x7x365→24x7 monitoring with after-hours support services. Approved by Hein Blignaut 2026-06-09."
"W1S2-001","APPSolve Acumatica - CUSTOMER - Proposal Template Sept2025 BH.docx","Parties/Customers/0. Proposal Templates/Acumatica/APPSolve Acumatica - CUSTOMER - Proposal Template Sept2025 BH.docx","Acumatica","Capability Statement","2026-06-08","Claude (AI extraction)","DIRECT","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/Acumatica/W1S2-001-ACU-Financials.md","Acumatica Financial Management module. From Sept 2025 template Acumatica Information section. Remediated 2026-06-10 Session B Part 1: Deferred Revenue row updated — IFRS 15 as primary standard (SA applicable), ASC 606 retained as secondary reference. US spellings corrected. Approved by Hein Blignaut 2026-06-10."
