"Assumption_ID","Area","Module","Category","Statement","Risk_If_Invalid","Default_Included","Customer_Action_Required","Version","Status"
"HCM-ENV-001","Environment","HCM Base","Assumption","Oracle Fusion HCM Cloud SaaS only — no on-premises deployment","Scope disputes if client expects on-premises options or hybrid deployment","Yes","No","1.0","Active"
"HCM-ENV-002","Environment","HCM Base","Dependency","Environment provisioning by Oracle; APPSolve timeline starts from environment access date","Timeline slippage if Oracle provisioning delays are not tracked and escalated","Yes","No","1.0","Active"
"HCM-ENV-003","Environment","HCM Base","Assumption","Scoped to 1 Production + 1 standard non-production Oracle environment; additional non-production tenants must be explicitly licensed by client","Cost overrun if client expects additional environments outside subscription","Yes","No","1.0","Active"
"HCM-ENV-004","Environment","HCM Base","Assumption","Oracle quarterly update schedule applies; client accepts updates may change UI or configuration behaviour","Unbudgeted regression work if client refuses to accept quarterly updates","Yes","No","1.0","Active"
"HCM-ENV-005","Environment","HCM Base","Customer Responsibility","Client responsible for browser compatibility and VPN/network access for all users","Access delays during testing and UAT","Yes","Yes","1.0","Active"
"HCM-ENV-006","Environment","HCM Base","Customer Responsibility","Client responsible for all employee internet connectivity; APPSolve not liable for network-related performance issues","Disputes over performance degradation attributed to APPSolve","Yes","Yes","1.0","Active"
"HCM-ENV-007","Environment","HCM Base","Assumption","Oracle SaaS SLA governs production availability; APPSolve not responsible for Oracle platform downtime","Unmanaged client expectations around uptime guarantees","Yes","No","1.0","Active"
"HCM-ENV-008","Environment","HCM Base","Assumption","Oracle CPU/patch bundles applied by Oracle during implementation are outside APPSolve scope; remediation is a Change Request","Unbudgeted rework during implementation if major Oracle patches alter delivered configuration","Yes","No","1.0","Active"
"HCM-ORG-001","Organisation Structure","HCM Base","Assumption","Configuration scope is based on entities, BUs, locations, and LDGs confirmed at scoping; scope changes require Change Request","Scope creep and cost overrun as additional entities are added post-scoping","Yes","No","1.0","Active"
"HCM-ORG-002","Organisation Structure","HCM Base","Customer Responsibility","Client confirms final legal entities, BUs, departments, locations, and job structures before Scope and Design commences","Design rework required if org structure changes after configuration has started","Yes","Yes","1.0","Active"
"HCM-ORG-003","Organisation Structure","HCM Base","Assumption","One LDG configured per country in scope; additional LDGs are a Change Request","Under-scoped legislative configuration; incorrect payroll interface setup","Yes","No","1.0","Active"
"HCM-ORG-004","Organisation Structure","HCM Base","Assumption","APPSolve applies Oracle Modern Best Practice as default org design; deviations are assessed as Change Requests","Cost overrun from bespoke org configurations not anticipated in estimate","Yes","No","1.0","Active"
