Assumption_ID,Section,Area,Category,Statement_Summary,Risk_If_Invalid,Default_Included,Customer_Action_Required,Version,Status
AMS-SCP-001,85,Support Scope,Assumption,AMS scope limited to applications/modules explicitly listed in AMS agreement; adding new application requires contract scope change,Client expects support for an application not in the AMS agreement,Yes,Confirm application list before signing AMS agreement,1.0,Active
AMS-SCP-002,85,Support Scope,Assumption,APPSolve provides Level 2 and Level 3 support only; Level 1 is client's responsibility unless explicitly contracted,Client routes all user queries to APPSolve including basic how-to questions,Yes,Establish internal Level 1 helpdesk before AMS commences,1.0,Active
AMS-SCP-003,85,Support Scope,Assumption,Level 2 covers functional config questions / config adjustments / error investigation / security role support / data correction / workflow adjustments / report adjustments,Client expects Level 2 to include business process redesign and enhancements,Yes,None,1.0,Active
AMS-SCP-004,85,Support Scope,Assumption,Level 3 covers technical investigation / Oracle SR management / OIC/BeBanking error investigation / performance diagnosis / complex senior-level issues,Client expects Level 3 to include new integration development,Yes,None,1.0,Active
AMS-SCP-005,85,Support Scope,Assumption,Support limited to Oracle applications configured and delivered by APPSolve; third-party configured apps require separate assessment and onboarding,APPSolve expected to support Oracle module configured by another system integrator,Yes,Confirm implementation source of all applications before AMS onboarding,1.0,Active
AMS-SCP-006,85,Support Scope,Constraint,BeBanking AMS only available where Carin Webb (sole BeBanking OIC resource) is available; SPOF noted in CONSULTANT_SKILL_MATRIX.md,BeBanking AMS cannot be fulfilled during Carin Webb absence without succession plan,Yes,Acknowledge BeBanking OIC SPOF; confirm AMS continuity plan,1.0,Active
AMS-SCP-007,85,Support Scope,Assumption,Acumatica AMS covers config adjustments / workflow and customisation support within implemented framework / data correction / release advisory / user access where contracted,Client expects Acumatica AMS to cover new customisation development,Yes,None,1.0,Active
AMS-HRS-001,86,Support Hours,Assumption,Standard support hours: 08:00–17:00 SAST Mon–Fri excluding SA public holidays; extended hours and 24/7 available as contracted add-ons at uplift rate,Client assumes 24/7 support under standard AMS agreement,Yes,Confirm support hours tier in AMS agreement,1.0,Active
AMS-HRS-002,86,Support Hours,Assumption,AMS delivered remotely by default; on-site support at separate on-site day rate plus travel; remote-first is APPSolve standard,Client expects on-site support as standard,Yes,Acknowledge remote-first delivery model,1.0,Active
AMS-HRS-003,86,Support Hours,Assumption,Monthly support hours allocation defined per contract; hours not used in a month do not roll over,Client expects unused hours to accumulate across months,Yes,Confirm monthly hours allocation in AMS agreement,1.0,Active
AMS-HRS-004,86,Support Hours,Assumption,Hours tracked and reported monthly: incidents resolved / SRs completed / hours consumed / hours remaining / CRs / open items,Client unaware of hours consumed until invoice arrives,Yes,None,1.0,Active
