Assumption_ID,Section,Area,Category,Statement_Summary,Risk_If_Invalid,Default_Included,Customer_Action_Required,Version,Status
OIC-SCP-001,51,Scope,Assumption,APPSolve scope covers design / build / test / cutover / hypercare of OIC integrations only — not endpoint systems,Scope creep into endpoint system support or administration,Yes,No,1.0,Active
OIC-SCP-002,51,Scope,Assumption,One integration = one directional data flow between one source and one target system,Client counts an A-to-B-to-A round-trip as one integration; APPSolve counts it as two,Yes,No,1.0,Active
OIC-SCP-003,51,Scope,Assumption,Integration Inventory is the authoritative scope document — agreed in Scope and Design phase,Scope disputes at delivery if Integration Inventory not signed off,Yes,Sign off Integration Inventory,1.0,Active
OIC-SCP-004,51,Scope,Customer Responsibility,Client holds valid OIC Enterprise or Standard licence and provides provisioned environment,Development cannot commence without OIC environment,Yes,Procure and provision OIC licence,1.0,Active
OIC-SCP-005,51,Scope,Assumption,OIC Enterprise (B91110) includes a non-production OIC environment as standard,Client expects APPSolve to procure or provision a separate non-production environment,Yes,Confirm non-production OIC is available,1.0,Active
OIC-SCP-006,51,Scope,Assumption,Integrations not in the signed Integration Inventory are a Change Request,Client adds integrations during build without formal Change Request,Yes,No,1.0,Active
OIC-SCP-007,51,Scope,Assumption,Where OIC accelerators apply their effort reduction is reflected in the estimate,Client expects full standard effort when an accelerator was used and disputes estimate basis,Yes,No,1.0,Active
OIC-SCP-008,51,Scope,Assumption,Oracle-to-Oracle integrations use native Oracle REST APIs / OIC / OTBI — mechanism confirmed in Scope and Design,Bespoke connectors built where native Oracle connectivity would have sufficed,Yes,No,1.0,Active
OIC-DES-001,52,Integration Design,Assumption,Default architecture is point-to-point — one source to one target via OIC,Client assumes hub-and-spoke or ESB architecture is included,Yes,No,1.0,Active
OIC-DES-002,52,Integration Design,Assumption,Orchestration integrations (3+ systems) are separately scoped — not in standard point-to-point scope,Complex multi-system orchestration baked into estimate as point-to-point effort,Yes,No,1.0,Active
OIC-DES-003,52,Integration Design,Assumption,Standard Oracle adapters used — custom adapter development excluded,Non-Oracle systems with no published API require bespoke adapter — not in standard scope,Yes,No,1.0,Active
OIC-DES-004,52,Integration Design,Assumption,APPSolve produces Technical Design Document (TDD) per integration — signed off before build,Build commences without agreed design causing rework,Yes,Review and sign off TDD,1.0,Active
OIC-DES-005,52,Integration Design,Assumption,SFTP file-based integration is default fallback where REST/SOAP unavailable,No integration approach available for systems without API or SFTP — scope gap discovered late,Yes,Confirm endpoint supports SFTP if REST/SOAP not available,1.0,Active
OIC-DES-006,52,Integration Design,Assumption,REST preferred over SOAP where both available — protocol documented in Integration Inventory,Legacy SOAP selected by default when REST is available and faster to implement,Yes,No,1.0,Active
OIC-DES-007,52,Integration Design,Assumption,Applicable OIC accelerators reduce design effort — accelerators and effort reduction confirmed in estimate,Client disputes estimate is too high when accelerator was available but effort reduction not documented,Yes,No,1.0,Active
OIC-DES-008,52,Integration Design,Assumption,Error handling included in every integration design — standard error pattern applied,Integrations fail silently in production; errors not surfaced or retried,Yes,No,1.0,Active
OIC-DES-009,52,Integration Design,Assumption,Standard retry logic included (3 retries with exponential backoff) — custom retry rules assessed per complexity,Integration retries indefinitely on transient failures; or does not retry at all,Yes,No,1.0,Active
OIC-END-001,53,Endpoint,Assumption,All endpoint systems are available and accessible during SIT and UAT,SIT deferred due to endpoint unavailability — project delayed,Yes,Ensure endpoints available in agreed testing windows,1.0,Active
OIC-END-002,53,Endpoint,Customer Responsibility,Client provides all endpoint technical connection details before design phase,Design cannot be completed without endpoint specifications,Yes,Provide endpoint specs (URL / credentials / API docs) before design,1.0,Active
OIC-END-003,53,Endpoint,Customer Responsibility,Third-party vendor provides API docs / sandbox / technical support — client manages vendor relationship,Vendor not responsive; integration cannot be tested; APPSolve held responsible for delay,Yes,Engage vendor and obtain API docs and sandbox access,1.0,Active
OIC-END-004,53,Endpoint,Assumption,Where no vendor sandbox exists APPSolve uses mock data during dev — live endpoint available for SIT,Integration passes mock-based tests but fails against real endpoint in SIT,Yes,Ensure live endpoint available for SIT,1.0,Active
OIC-END-005,53,Endpoint,Constraint,Third-party endpoint unavailability during testing is client's risk — APPSolve not responsible for vendor-caused delays,APPSolve held responsible for project timeline when vendor is the blocker,Yes,Manage vendor availability for testing windows,1.0,Active
OIC-END-006,53,Endpoint,Assumption,Oracle Fusion HCM/ERP endpoints use Oracle standard REST APIs — custom Oracle endpoints require assessment,Custom APEX or bespoke PaaS APIs assumed to follow Oracle standard patterns,Yes,No,1.0,Active
OIC-SEC-001,54,Security,Customer Responsibility,Client IT team responsible for all endpoint security configuration — firewall / whitelisting / VPN,Firewall blocks OIC traffic; connectivity fails; project delayed,Yes,Complete all firewall and network changes before SIT,1.0,Active
OIC-SEC-002,54,Security,Customer Responsibility,All firewall rule changes completed before SIT commencement,SIT delayed by pending firewall approvals — timeline impact,Yes,Complete firewall changes before SIT start date,1.0,Active
OIC-SEC-003,54,Security,Customer Responsibility,Client coordinates IP whitelisting of OIC IP ranges at third-party endpoints,Third-party endpoint blocks OIC — SIT fails for connectivity reasons not build defects,Yes,Coordinate IP whitelisting with vendor before SIT,1.0,Active
OIC-SEC-004,54,Security,Assumption,APPSolve responsible for OIC connection configuration only — network-layer security is client IT responsibility,APPSolve expected to troubleshoot client network or vendor firewall issues,Yes,No,1.0,Active
OIC-SEC-005,54,Security,Assumption,Default authentication is OAuth 2.0 (or Basic Auth where OAuth unavailable) — alternatives documented per endpoint,Non-standard auth (JWT / mTLS / custom token) assumed to be same effort as OAuth — estimate understated,Yes,Confirm authentication method per endpoint,1.0,Active
OIC-SEC-006,54,Security,Customer Responsibility,Client IT provisions service accounts for OIC connectivity before build phase,Build cannot begin without service account credentials,Yes,Provision service accounts and provide credentials,1.0,Active
