"doc_id","title","doc_type","sub_type","business_unit","service_area","status","expiry_date","days_to_expiry","expiry_status","source_path","kb_path","sidecar_path","date_added","last_reviewed","document_owner","review_frequency","tags","notes","issuing_authority","issue_date","document_number","rating","verified","verified_date","holder_name","holder_type","scanned_ocr","client_name","client_sector","project_name","services_scope","project_start","project_end","value_band","outcome","reference_letter","contact_available","approved_for_reuse","tender_ref","submission_date","reusable_sections","primary_business_unit","strategic_value","reusable_content_score","person_name","role","years_experience","cv_version","available_for_tenders","version","approved_by","key_differentiators"
"COMP-001","[EXAMPLE] SARS Tax Clearance Certificate 2026","COMP","Tax","Corporate","","Active","2026-09-30","117","Current","Tender Pack/Compliance/Tax/Tax_Clearance_2026.pdf","01_Compliance/Tax/Tax_Clearance_2026.pdf","01_Compliance/Tax/Tax_Clearance_2026.meta.md","2026-06-05","2026-06-05","Hein Blignaut","Quarterly","tax,compliance,SARS,clearance","Renew 30 days before expiry via eFiling","SARS","2026-04-01","PIN-000000000","","Yes","2026-06-05","","","No","","","","","","","","","","","","","","","","","","","","","","","","",""
"COMP-002","[EXAMPLE] B-BBEE Compliance Certificate - Level 2 (2025)","COMP","BEE","Corporate","","Active","2026-11-30","178","Current","Tender Pack/Compliance/BEE/BBBEE_Cert_2025.pdf","01_Compliance/BEE/BBBEE_Cert_2025.pdf","01_Compliance/BEE/BBBEE_Cert_2025.meta.md","2026-06-05","2026-06-05","Hein Blignaut","Annual","BEE,B-BBEE,compliance,empowerment,Level 2","Annual renewal - begin process 60 days before expiry","DTIC Accredited Verification Agency","2025-12-01","BBBEE-XXXX-2025","Level 2","Yes","2026-06-05","","","No","","","","","","","","","","","","","","","","","","","","","","","","",""
"REF-001","[EXAMPLE] Oracle EBS R12 Finance and HR - Metro Municipality A","REF","Project","Oracle","Oracle EBS","Active","None","","No-Expiry","Tender Pack/References/Oracle/Metro_Municipality_A_Ref.pdf","04_References/Oracle/Metro_Municipality_A_Ref.pdf","04_References/Oracle/Metro_Municipality_A_Ref.meta.md","2026-06-05","2026-06-05","Hein Blignaut","Annual","Oracle,EBS,R12,government,municipality,finance,HR","Reference letter signed - client approved to be named","","","","","","","","","Metro Municipality A","Government","Oracle EBS R12 Finance and HR Implementation","Oracle EBS,GL,AP,AR,Fixed Assets,HR","2021-03","2022-11","5M-20M","Successful","Yes","Yes","Yes","","","","","","","","","","","","","",""
"REF-002","[EXAMPLE] Acumatica ERP - Manufacturing Company B","REF","Project","Acumatica","Acumatica ERP","Active","None","","No-Expiry","Tender Pack/References/Acumatica/ManufacturingB_Ref.pdf","04_References/Acumatica/ManufacturingB_Ref.pdf","04_References/Acumatica/ManufacturingB_Ref.meta.md","2026-06-05","2026-06-05","Hein Blignaut","Annual","Acumatica,ERP,manufacturing,distribution,payroll","Contact available - do not name client without approval","","","","","","","","","Manufacturing Company B","Manufacturing","Acumatica ERP Manufacturing and Distribution","Acumatica ERP,Manufacturing,Distribution,Payroll","2023-02","2023-10","1M-5M","Successful","Yes","Yes","Yes","","","","","","","","","","","","","",""
"REF-003","[EXAMPLE] BeBanking Supplier Payment Automation - Retail Group C","REF","Project","BeBanking","BeBanking-Supplier-Payments","Active","None","","No-Expiry","Tender Pack/References/BeBanking/RetailGroupC_Ref.pdf","04_References/BeBanking/RetailGroupC_Ref.pdf","04_References/BeBanking/RetailGroupC_Ref.meta.md","2026-06-05","2026-06-05","Hein Blignaut","Annual","BeBanking,supplier payments,banking,ERP integration,retail","NDA in place - refer to as major retail group in tenders","","","","","","","","","Retail Group C","Retail","BeBanking Host-to-Host Supplier Payment Integration","BeBanking,Supplier Payments,ERP Integration","2024-01","2024-06","1M-5M","Successful","Yes","Yes","Conditional","","","","","","","","","","","","","",""
"CERT-001","[EXAMPLE] Oracle OCI Architect Associate - APPSolve Company Certification","CERT","Company","Oracle","OCI","Active","2027-03-31","299","Current","Tender Pack/Certifications/Oracle/OCI_Architect_Assoc.pdf","03_People/Certifications/OCI_Architect_Assoc.pdf","03_People/Certifications/OCI_Architect_Assoc.meta.md","2026-06-05","2026-06-05","Hein Blignaut","Annual","Oracle,OCI,certification,cloud,architect","Renewal requires re-examination","Oracle","2025-04-01","OCI-ARCH-ASSOC-XXXXXX","","Yes","2026-06-05","APPSolve (Pty) Ltd","Company","No","","","","","","","","","","","","","","","","","","","","","","","","",""
"CERT-002","[EXAMPLE] Acumatica Gold Certified Partner Status","CERT","Partner-Status","Acumatica","Acumatica ERP","Active","2026-12-31","209","Current","Tender Pack/Certifications/Acumatica/Acumatica_Gold_Partner.pdf","03_People/Certifications/Acumatica_Gold_Partner.pdf","03_People/Certifications/Acumatica_Gold_Partner.meta.md","2026-06-05","2026-06-05","Hein Blignaut","Annual","Acumatica,partner,Gold,certification,ERP","Annual renewal tied to revenue targets and certified staff count","Acumatica Inc.","2026-01-15","ACU-GOLD-XXXXXX","","Yes","2026-06-05","APPSolve (Pty) Ltd","Company","No","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAP-001","[EXAMPLE] Oracle OCI Managed Services Capability Statement","CAP","Capability","Oracle","OCI","Active","None","","No-Expiry","Tender Pack/Capabilities/Oracle/OCI_Managed_Services_Cap.docx","06_Capabilities/Oracle/Oracle_Managed_Services/OCI_Managed_Services_Cap.docx","06_Capabilities/Oracle/Oracle_Managed_Services/OCI_Managed_Services_Cap.meta.md","2026-06-05","2026-06-05","Hein Blignaut","Annual","Oracle,OCI,managed services,cloud,infrastructure,24x7","Approved 2025-Q4 - includes SLA reference table","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","","","","","","2025-Q4","Hein Blignaut","24x7 monitoring,OCI local region,SLA-backed,cost optimisation"
"METH-001","[EXAMPLE] Acumatica ERP Implementation Methodology v1.3","METH","Implementation","Acumatica","","Active","None","","No-Expiry","Tender Pack/Methodologies/Acumatica/Acumatica_Impl_v1.3.docx","05_Methodologies/Implementation/Acumatica_Impl_v1.3.docx","05_Methodologies/Implementation/Acumatica_Impl_v1.3.meta.md","2026-06-05","2026-06-05","Hein Blignaut","Annual","Acumatica,methodology,implementation,ERP,Sure Step","Based on Acumatica Sure Step - updated for v2024 R1","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","","","","","","v1.3","Hein Blignaut","Sure Step,phased delivery,UAT-first,local support"
"HIST-001","[EXAMPLE] Oracle EBS and Fusion HCM Modernisation - Government Department D (WON)","HIST","Won","Oracle","Oracle EBS,Fusion HCM","Archived","None","","No-Expiry","Tender Pack/Historical/Won/GovDeptD_EBS_HCM_2024/","08_Historical_Tenders/Won/GovDeptD_EBS_HCM_2024/","08_Historical_Tenders/Won/GovDeptD_EBS_HCM_2024.meta.md","2026-06-05","2026-06-05","Hein Blignaut","As-Needed","Oracle,EBS,Fusion HCM,government,won,2024","Score 87/100 - executive summary approved for reuse","","","","","","","","","","Government Department D","Government","EBS and HCM Modernisation Programme","Oracle EBS,Fusion HCM","","",">20M","Won","","","GovD-ERP-HCM-2024/007","2024-09-30","Yes","Oracle","High","4","","","","","","","",""
