Reference_ID,Client_Name,Industry,Business_Unit,Products,Project_Scope,Countries,Named_Reference_Allowed,Letter_Date,Signatory,Signatory_Title,Contract_Value,Relationship_Start,Source_Path,Status,Tier,Governance_Restrictions,Related_Capability_Statements,Related_HIST_Assets
REF-ORA-007,Oracle Corporation SA,Technology — Vendor,Oracle,"Oracle Cloud SaaS Financials, Oracle Cloud SaaS HR (Core), Oracle Cloud Integration (OIC)","Partner endorsement. Published Expertise: Cloud Applications Financials, Cloud Applications HR Core, Cloud Infrastructure & OIC. Not a client reference — endorsement of APPSolve as Gold Partner.",South Africa,Yes,2024 (undated exact),Ashley Sanichar,Country Manager Applications — Oracle Corporation SA,N/A (partner endorsement),20+ year partner relationship,Tender Pack/References/0. Oracle Reference to Include in all Proposals/Reference 2024 Oracle Letter.pdf,ACTIVE — INCLUDE IN ALL ORACLE PROPOSALS,GOLD,"Include in all Oracle proposals as standard. Partner endorsement — do not describe as client reference. Confirm annually that APPSolve remains active Oracle partner.",W1S1-004-ACU-AcumaticaPartnership; W1S2-001-ACU-Financials,N/A
REF-ORA-001,Investec Bank Limited,Financial Services / Banking,Oracle,"Oracle Fusion Financials (all modules — GL, AP, AR, iExpenses, Procurement)","Full Oracle Fusion Finance + Procurement implementation. Go-live 15 May 2023. Ongoing support. Described as trusted advisor and long-term partner.","South Africa (Investec global group: AU, BW, CA, GG, HK, IE, JE, MU, NA, CH, TW, UK, US)",Yes,September 2023,Corlia Kleyn,Central Creditors Manager — Investec Bank,Not stated,Implementation from ~2022,Tender Pack/References/Reference 2023 09 Investec Letter.pdf,ACTIVE,GOLD,Account manager approval required at each tender submission. REF-ORA-001 registered WP7 2026-06-14. Financial services sector — contact has email and mobile on letter.,W1S2-001-ACU-Financials,HIST-001 (Investec tender evidence in ORACLE_FACT_BASELINE)
REF-ORA-002,NALA Renewables (Nala SA Services),Renewable Energy,Oracle,"Oracle Fusion ERP — GL, Tax, Payables, Receivables, Fixed Assets, Cash Management, Projects","Full Oracle Fusion Finance + Projects implementation and ongoing support. Live in South Africa, Lithuania, Romania. Most recent letter August 2025 (Oct 2024 prior — use Aug 2025 version).","South Africa, Lithuania, Romania (8 countries per factbase evidence)",Yes,August 2025 (supersedes October 2024),Panashe Moyo,Senior Finance Manager — Nala SA Services,> R1 303 500,22 January 2024,Tender Pack/References/0. Oracle Reference to Include in all Proposals/Updated Support References/0.Signed/Nala_Reference Letter.pdf,ACTIVE,GOLD,Account manager approval required at each tender submission. REF-ORA-002 registered WP7 2026-06-14. Use August 2025 version (not October 2024 root folder version). Multi-country scope is key differentiator.,W1S2-001-ACU-Financials; W1S2-009-ACU-ProjectAccounting,N/A
REF-ORA-003,Cape Union Mart International,Retail — Outdoor / Lifestyle,Oracle,"Oracle Fusion Financials, Oracle Fusion Procurement","Oracle Fusion Finance and Procurement implementation and ongoing support. Scope confirmed by BU Lead D2 (2026-06-14) — Finance and Procurement only (not Acumatica or PaySpace).",South Africa,Yes,2025 (undated exact),Nazreen Hoosen,Enterprise Application Manager — Cape Union Mart International,> R231 400,28 February 2022,Tender Pack/References/0. Oracle Reference to Include in all Proposals/Updated Support References/0.Signed/Cape Union Mart_Reference Letter.pdf,ACTIVE,SILVER,Account manager approval required at each submission. REF-ORA-003 registered WP7 2026-06-14. D2 scope confirmed: Oracle Fusion Finance + Procurement. Do NOT describe as Acumatica reference.,W1S2-001-ACU-Financials,N/A
REF-ORA-004,Assore,Mining,Oracle,"Oracle EBS Financials (Functional and Technical), Oracle Application DBA","Oracle EBS Finance functional + technical support and DBA. Ongoing. August 2025 letter supersedes July 2023 version — use Aug 2025.",South Africa,Yes,August 2025 (supersedes July 2023),Angela Stapelberg,Manager Enterprise Applications — Assore Information Technology Services,> R5 477 622.25,19 September 2022,Tender Pack/References/0. Oracle Reference to Include in all Proposals/Updated Support References/0.Signed/Assore_Reference Letter.pdf,ACTIVE,SILVER,Account manager approval required. REF-ORA-004 registered WP7 2026-06-14. Mining sector. Use Aug 2025 letter from 0.Signed folder (not root References/2023 version).,W1S2-001-ACU-Financials,N/A
REF-ORA-005,Adcock Ingram Healthcare,Healthcare / Pharmaceutical,Oracle,"Oracle EBS Financials, EBS System Integration, OS and DBA Support, Oracle APEX, Oracle SOA, Google Playstore Mobile App","Full EBS Finance implementation and support from 2008. DBA on EBS environments. Custom APEX applications. SOA integration. Mobile app (Google Playstore) integrated into EBS. Ongoing. Highest contract value of any reference.",South Africa,Yes,7 August 2025 (supersedes July 2023),Hannes Beukes,Manager: Business Applications — Adcock Ingram IT Applications,> R13 363 307,30 April 2008,Tender Pack/References/0. Oracle Reference to Include in all Proposals/Updated Support References/0.Signed/Adcock Ingram_Reference Letter.pdf,ACTIVE,GOLD,Account manager approval required. REF-ORA-005 registered WP7 2026-06-14. Largest disclosed contract value. Longest EBS tenure (17+ years). Use Aug 2025 letter from 0.Signed folder.,W1S2-001-ACU-Financials,N/A
REF-ORA-006,Mr Price Group,Retail — Fashion / Apparel,Oracle,Oracle Fusion HCM Learning Cloud; Oracle Time & Labour (PoC only),"HCM Learning Cloud implementation. T&L rollout to stores across SA. C-W3-002 ACTIVE: only cite as Learning Cloud reference. T&L is PoC — NOT a production reference. Broader HCM = support only, not implementation.",South Africa (stores nationwide),Yes,2 September 2024,Kim Sim,Chief Information Officer — Mr Price Group,Not stated,Ongoing,Tender Pack/References/Reference 2024 Mr Price.pdf,ACTIVE,SILVER,"C-W3-002 ACTIVE: Do NOT describe Mr Price as full Oracle HCM reference. Scope = Oracle HCM Learning Cloud implementation only. T&L scope is PoC (OI-W7-001). CIO-level signatory — strongest title in the reference corpus. Account manager approval required.",W3S1-001-ORA-HCMCoreGlobalHR; W3S1-003-ORA-HCMLearningCloud,HIST-016 (SABS ETS); OI-W7-001 (T&L PoC)
REF-ORA-008,African Rainbow Minerals (ARM),Mining,Oracle,"Oracle EBS Financials, Oracle EBS HCM, Oracle Integration Cloud (OIC), OCI DevOps, Oracle APEX","Oracle EBS Financials and HCM support from 2012 (13+ years). OIC integrations. OCI DevOps environment. APEX custom solutions. Active support ongoing.",South Africa,Yes,31 July 2025,Pumza Mtshingila,Enterprise Business Systems Manager — African Rainbow Minerals,> R2 956 800,1 May 2012,Tender Pack/References/0. Oracle Reference to Include in all Proposals/Updated Support References/0.Signed/ARM_Reference letter.pdf,ACTIVE,GOLD,Account manager approval required. Longest active Oracle EBS relationship in portfolio. Mining sector. Covers EBS + OIC + OCI + APEX — strong multi-product reference. Contact mobile number on letter.,W1S2-001-ACU-Financials,N/A
REF-ORA-009,MTN Group Management Services,Telecommunications / ICT,Oracle + OCI,"Oracle Integration Cloud (OIC), Oracle Cloud Finance and Procurement, OCI IaaS and PaaS, Oracle APEX, Oracle EBS Developer, DevOps / DevSecOps, Oracle Linux & DBA","Full Oracle Cloud + OCI managed services. Resourcing model: multiple skill types provided (BA, PM, Developer, DevOps, DevSecOps, Oracle Linux, DBA, SaaS Specialist, IaaS Specialist, PaaS Specialist). Ongoing from 2019. Two letter versions (July + August 2025) — use August 2025 signed letter from 0.Signed folder.",South Africa (MTN Group — pan-African corporate entity),Yes,4 August 2025 (also 17 July 2025 version — use Aug),Johan Pretorius,GM: Enterprise Performance Management — MTN Group,> R3 941 616,1 November 2019,Tender Pack/References/0. Oracle Reference to Include in all Proposals/Updated Support References/0.Signed/MTN_Reference Letter.pdf,ACTIVE,GOLD,Account manager approval required. Letter marked 'MTN Internal sensitivity' — exercise discretion in public documents. Use August 2025 signed PDF from 0.Signed folder (not root References folder version). MTN Group = pan-Africa reach is strategic context.,W1S2-001-ACU-Financials,HIST-002 (MTN Oracle EBS DBA — Won 2014)
REF-ORA-010,University of the Witwatersrand (WITS),Higher Education / Public Sector,Oracle + BeBanking,"Oracle EBS Payroll (functional support), Oracle EBS Functional, Oracle Applications DBA, BeBanking H2H banking integration","Ongoing from 2007 (18+ years — longest relationship in portfolio). Covers Oracle EBS full suite + BeBanking H2H. Contract value withheld by client (available on demand). Digitally signed by GM.",South Africa,Yes,6 August 2025 (digitally signed),Luci Carosin,GM: Application Delivery and Support Services — Wits ICT (digital signature),Withheld — available on demand,22 January 2007,Tender Pack/References/0. Oracle Reference to Include in all Proposals/Updated Support References/0.Signed/WITS_Reference Letter.pdf,ACTIVE,GOLD,Account manager approval required. Contract value withheld by client — do not press or impute value. BeBanking scope must be confirmed for use as BeBanking reference (cross-BU). Digital signature validates authenticity. Public sector / university context.,W1S2-001-ACU-Financials; W1S3-002-BB-HostToHostBanking,N/A
