assumption_id,pack,section_number,section_code,title,status,bu_decision_ref,risk_level,notes
BB-GEN-001,BB,140,BB-GEN,BeBanking as Proprietary Managed Platform,Approved,,LOW,APPSolve = vendor and implementation partner
BB-GEN-002,BB,140,BB-GEN,Standard Scope — Single Entity Single Country,Approved,,MEDIUM,Multi-entity and multi-country separately scoped
BB-GEN-003,BB,140,BB-GEN,Managed Application — No Client Platform Access,Approved,,LOW,No source code or infrastructure access
BB-GEN-004,BB,140,BB-GEN,BeBanking Not an ERP — Payment Platform Only,Approved,,LOW,All instructions originate from client ERP
BB-GEN-005,BB,140,BB-GEN,Minimum Onboarding Period 6 Weeks,Approved,,MEDIUM,Complex implementations 12–20 weeks
BB-GEN-006,BB,140,BB-GEN,Solution Consultant as Primary Delivery Contact,Approved,,LOW,Dedicated PM only where in SOW
BB-GEN-007,BB,140,BB-GEN,Phased Onboarding with Sequential Sign-Off,Approved,,MEDIUM,6-phase delivery model; sign-off gates required
BB-GEN-008,BB,140,BB-GEN,Subscription-Based Licensing — Tier Confirmation Required,Approved,,MEDIUM,Transaction volume and payment type scope confirmed in commercial schedule; tier confirmed per BU Master Review
BB-BNK-001,BB,141,BB-BNK,Supported Banking Partner List,Approved,,HIGH,"Standard banks: ABSA, FNB, Nedbank, Standard Bank, Investec + CMA extensions (Namibia, Botswana, eSwatini, Lesotho, Zimbabwe); Citi Bank UK + Santander Chile for forex; additional banks separately scoped"
BB-BNK-002,BB,141,BB-BNK,No Direct SWIFT Membership — Bank-Intermediated Model,Approved,,CRITICAL,APPSolve does not claim direct SWIFT connectivity
BB-BNK-003,BB,141,BB-BNK,Bank Onboarding Timeline Outside APPSolve Control,Approved,,HIGH,4–8 weeks from registration to production approval; bank-controlled
BB-BNK-004,BB,141,BB-BNK,Client Responsible for Bank Account Structure,Approved,,MEDIUM,Post-configuration bank account changes are CR
BB-BNK-005,BB,141,BB-BNK,APPSolve Does Not Hold Client Funds,Approved,,CRITICAL,BeBanking transmits instructions; client bank executes; no payment service provider role
BB-BNK-006,BB,141,BB-BNK,Client Responsible for Establishing Bank Agreements,Approved,,HIGH,H2H agreement / bulk payment facility / SFTP or API access must be in place before testing
BB-BNK-007,BB,141,BB-BNK,SFTP and API Connectivity Supported — Method Per Bank,Approved,,MEDIUM,Method confirmed during bank onboarding assessment
BB-BNK-008,BB,141,BB-BNK,Bank File Format Specifications Are Bank-Defined,Approved,,HIGH,Post-go-live bank format changes addressed under support arrangement
BB-BNK-009,BB,141,BB-BNK,Namibian Banking Separately Scoped,Approved,,MEDIUM,Namibia separately scoped; CMA extensions in BB-BNK-001
BB-BNK-010,BB,141,BB-BNK,No Cash or Treasury Management Functions,Approved,,LOW,Payment instruction and statement processing only
BB-PAY-001,BB,142,BB-PAY,EFT Credit Payments Supported — Debit Orders Excluded,Approved,,MEDIUM,EFT debit not in standard scope
BB-PAY-002,BB,142,BB-PAY,ERP Initiates All Payment Instructions,Approved,,MEDIUM,BeBanking does not originate payments independently
BB-PAY-003,BB,142,BB-PAY,Two-Level Maker-Checker Approval Standard,Approved,,MEDIUM,Additional approval levels separately scoped
BB-PAY-004,BB,142,BB-PAY,Account Verification Service — New/Changed Bank Details Trigger; Legal Owner Confirms,Approved,,MEDIUM,AVS per-transaction charges passed through; triggered on new or changed bank account details; account legal owner confirms; not all banks offer AVS
BB-PAY-005,BB,142,BB-PAY,Bank Acknowledgement Returned to ERP,Approved,,MEDIUM,Timing and format bank-defined; APPSolve not responsible for bank delays
BB-PAY-006,BB,142,BB-PAY,Standard Remittance Advice via Email Included,Approved,,LOW,Custom formats / SMS / portal separately scoped
BB-PAY-007,BB,142,BB-PAY,Beneficiary Master Owned by Client ERP,Approved,,MEDIUM,BeBanking does not maintain beneficiary master
BB-PAY-008,BB,142,BB-PAY,Duplicate Payment Detection — Same Beneficiary Control,Approved,,HIGH,Duplicate detection on same beneficiary within configurable window; post-go-live parameter changes are CR
BB-PAY-009,BB,142,BB-PAY,RTGS Payments Subject to Bank Agreement,Approved,,MEDIUM,RTGS only; higher bank fees; client responsibility to establish bank agreement
BB-PAY-010,BB,142,BB-PAY,No Reversal After Bank Submission — Bank-Driven Process,Approved,,HIGH,Recalls arranged directly with bank by client
